"","year","CO2","CH4","NO2","SGG","location","latitude","longitude","location_name","country","state","count","mean","min","max"
"164",1884,289.70582,0.84418,0.27681,3.8e-05,"016055",-32.38,135.52,"YARDEA","Australia","South Australia",362,0.709944751381215,0,34.8
"165",1884,289.70582,0.84418,0.27681,3.8e-05,"086131",-37.56,145.13,"YAN","Australia","Victoria",366,1.58524590163934,0,27.9
"166",1884,289.70582,0.84418,0.27681,3.8e-05,"058012",-29.43,153.36,"YAMBA","Australia","New South Wales",366,4.27431693989071,0,100.3
"167",1885,290.04397,0.84603,0.27701,3.8e-05,"019001",-33.05,138.43,"APPILA","Australia","South Australia",358,0.822625698324022,0,28.4
"168",1885,290.04397,0.84603,0.27701,3.8e-05,"078078",-36.37,141.24,"KANIVA","Australia","Victoria",365,1.33123287671233,0,30.5
"169",1885,290.04397,0.84603,0.27701,3.8e-05,"047029",-33.39,142.57,"POONCARIE","Australia","New South Wales",365,0.522191780821918,0,33.5
"170",1885,290.04397,0.84603,0.27701,3.8e-05,"062026",-32.81,149.98,"RYLSTONE","Australia","New South Wales",365,1.54739726027397,0,60.5
"171",1885,290.04397,0.84603,0.27701,3.8e-05,"084030",-37.69,148.46,"ORBOST","Australia","Victoria",365,2.01424657534247,0,53.8
"172",1885,290.04397,0.84603,0.27701,3.8e-05,"048031",-29.55,148.59,"COLLARENEBRI","Australia","New South Wales",365,0.896438356164384,0,34
"173",1885,290.04397,0.84603,0.27701,3.8e-05,"024511",-34.18,139.08,"EUDUNDA","Australia","South Australia",365,0.925479452054795,0,47
"174",1885,290.04397,0.84603,0.27701,3.8e-05,"054003",-30.38,150.61,"BARRABA","Australia","New South Wales",304,1.86776315789474,0,45.2
"175",1885,290.04397,0.84603,0.27701,3.8e-05,"087053",-38.12,144.64,"PORTARLINGTON","Australia","Victoria",361,1.82105263157895,0,31.8
"176",1885,290.04397,0.84603,0.27701,3.8e-05,"069018",-35.91,150.15,"MORUYA","Australia","New South Wales",365,1.37041095890411,0,39.1
"177",1885,290.04397,0.84603,0.27701,3.8e-05,"074128",-35.55,144.95,"DENILIQUIN","Australia","New South Wales",365,1.16164383561644,0,34
"178",1885,290.04397,0.84603,0.27701,3.8e-05,"085096",-39.13,146.42,"WILSONS","Australia","Victoria",365,3.10630136986301,0,55.9
"179",1885,290.04397,0.84603,0.27701,3.8e-05,"089033",-37.69,142.72,"WICKLIFFE","Australia","Victoria",365,1.18438356164384,0,27.2
"180",1885,290.04397,0.84603,0.27701,3.8e-05,"062021",-32.6,149.6,"MUDGEE","Australia","New South Wales",365,1.70356164383562,0,57.7
"181",1885,290.04397,0.84603,0.27701,3.8e-05,"058063",-28.88,153.05,"CASINO","Australia","New South Wales",365,1.78054794520548,0,60.2
